Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Amplada;Alçada;EspaiColor;ResolucioDPI;TipusCompressio;ModelCamera;OberturaDiafragma;ISO
PULipCT3DTI;Red poppy flower in a field at sunset;;2026;SensibilitatISO|BalançDeBlancs;https://images.unsplash.com/photo-1770037947897-201aa3ca32d7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMjJ8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#f3f3f3;72;PNG;Nikon D850;1,4;1600
J2iptZU0-6U;Wooden cabin on a grassy hill with fog.;;2026;;https://images.unsplash.com/photo-1770035183754-40166582f83f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMjN8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4160;6240;#f3f3f3;150;JPEG;Sony A7R;1,8;400
BU4Zv7usvI8;People walk past a red taxi on a city street.;;2026;BalançDeBlancs|SensibilitatISO;https://images.unsplash.com/photo-1770045232290-e6ef3e939b26?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMjR8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4980;3320;#262626;96;JPEG;Sony A7R;8;400
S1Cv0sXA7uI;Abstract painting with bold brushstrokes and vibrant colors;;2026;LlumNatural;https://images.unsplash.com/photo-1770129703548-e1ced0e4f118?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMjV8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;3543;4724;#26260c;96;JPEG;Sony A7R;8;100
nzkGVjsIkG8;Abstract iridescent glass shapes with rainbow reflections;;2026;Instantania;https://images.unsplash.com/photo-1770173047431-1af521ed5481?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMjZ8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;6075;4860;#267373;150;PNG;Fujifilm X-T4;5,6;100
bVNHkbf5BBs;Three smiling friends making heart shape with hands.;;2025;LlumNatural|BalançDeBlancs|Enquadrament|RetratNarratiu;https://images.unsplash.com/photo-1761839256601-e768233e25e7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxMjd8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;5620;3747;#26400c;150;PNG;Sony A7R;1,4;800
L5XvSaEDnMY;Symmetrical pink and white marbled abstract pattern;;2026;RetratNarratiu|DistanciaFocal|LlumNatural|Instantania;https://images.unsplash.com/photo-1770230081319-eb4645ae3d8d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMjh8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;6000;3368;#d9a6a6;150;TIFF;Nikon D850;1,4;800
asZmkpKAvhc;Blue neon signs with chinese characters at night;;2026;VelocitatDObturacio|LlumNatural|RevelatDigital|ProfunditatDeCamp;https://images.unsplash.com/photo-1770297346174-42b41a98c990?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMjl8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#0c2640;300;TIFF;Fujifilm X-T4;2,8;1600
j8Ydt-FP5rU;Silhouette of hills against a twilight sky;;2026;RetratNarratiu|LlumNatural;https://images.unsplash.com/photo-1770293798808-2cd38cd36e4c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzB8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;3840;2555;#0c2640;150;TIFF;Fujifilm X-T4;8;100
nFUl00OEGBk;A single blurred red tulip on a white background;;2026;RetratNarratiu|SensibilitatISO;https://images.unsplash.com/photo-1770650776137-d9e749697fc4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzF8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;6000;4000;#f3f3f3;150;PNG;Canon EOS 5D;8;100
7jg7Y_Mlf2Q;Woman standing in front of colorful apartment buildings;;2026;ComposicioVisual;https://images.unsplash.com/photo-1770064319797-2c156a2aaf1e?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzJ8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;3598;5397;#c0c0c0;300;JPEG;Fujifilm X-T4;2,8;200
jKj_ujtUe6Q;Snow-capped mountains seen through an airplane window.;;2026;ProfunditatDeCamp|Fotometria|DistanciaFocal|BalançDeBlancs|SensibilitatISO|LlumNatural;https://images.unsplash.com/photo-1770126548552-c35de444a1c5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzN8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;3264;4896;#0c2626;96;TIFF;Leica M10;5,6;400
PCITNW3g85Q;Four friends climbing over a wooden fence outdoors;;2025;SensibilitatISO|Fotometria|DistanciaFocal;https://images.unsplash.com/photo-1761839262867-af53d08b0eb5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxMzR8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;8192;5464;#f3f3f3;150;WebP;Nikon D850;4;800
L8Abg5qytHo;Red taxi driving through a blurry neon city at night;;2026;Instantania|Enquadrament|Fotometria;https://images.unsplash.com/photo-1770297345796-8de4cf924c08?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzV8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;6000;3617;#0c2626;300;PNG;Sony A7R;5,6;100
OSqQ3ugcYQU;A solitary lamppost stands in a snow-covered landscape;;2026;RevelatDigital;https://images.unsplash.com/photo-1770319127817-a70d6172442d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzZ8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;2986;3981;#d9d9d9;300;TIFF;Sony A7R;1,4;1600
N2AsOyPKnYc;Small wooden cabin nestled in a snowy forest.;;2026;Fotometria|RevelatDigital|Instantania|ProfunditatDeCamp|RetratNarratiu;https://images.unsplash.com/photo-1770281151839-51fcd6c94439?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzd8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4160;6240;#8c8c8c;96;TIFF;Canon EOS 5D;5,6;3200
P1gg8tchIQs;Red and white taxi drives past modern building arches.;;2026;RetratNarratiu|RevelatDigital|ComposicioVisual|VelocitatDObturacio|LlumNatural;https://images.unsplash.com/photo-1770386286788-cfd88b1d209f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzh8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;2771;4157;#f3f3f3;150;JPEG;Sony A7R;2,8;800
bYYV4fZ4uik;Four chairs by arched windows with lanterns;;2026;RetratNarratiu|LlumNatural|ComposicioVisual|VelocitatDObturacio;https://images.unsplash.com/photo-1770387200335-31ae84af6b40?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMzl8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4244;2829;#f3f3f3;96;PNG;Nikon D850;8;100
OCUtDlFT5O4;Ornate building overlooks a european city with a river.;;2026;VelocitatDObturacio|ProfunditatDeCamp|RevelatDigital|Instantania|ComposicioVisual|RetratNarratiu;https://images.unsplash.com/photo-1770386085173-b7410ddc993c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNDB8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#c0d9d9;72;JPEG;Canon EOS 5D;1,8;800
k71TQkbVIgI;Children riding in a wagon with red buckets;;2025;ProfunditatDeCamp|RetratNarratiu|VelocitatDObturacio|Enquadrament|ComposicioVisual;https://images.unsplash.com/photo-1761839258289-72f12b0de058?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxNDF8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;8640;5760;#d9f3f3;150;JPEG;Leica M10;1,8;200
CjZybibPk4w;People enjoying a sunny day at the beach.;;2026;VelocitatDObturacio|Instantania;https://images.unsplash.com/photo-1770407779123-8523d311c4b5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNDJ8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;5444;3649;#d9d9d9;150;WebP;Leica M10;1,4;400
QjOiTg459jI;Layered blue mountains fade into a soft pink sky.;;2026;Fotometria|LlumNatural|ComposicioVisual|RevelatDigital|SensibilitatISO|VelocitatDObturacio;https://images.unsplash.com/photo-1770567351994-dd4a743ab1e6?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNDN8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;8192;5464;#f3d9d9;72;JPEG;Nikon D850;4;200
DJL9hZFCd4w;Ceiling covered in colorful anime and manga posters.;;2026;Fotometria|DistanciaFocal|LlumNatural;https://images.unsplash.com/photo-1770548037973-d64f8644dbd7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNDR8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;5354;8045;#f3f3f3;72;TIFF;Leica M10;1,8;400
f0BKOe5J_Cg;Abstract pattern of ice with dark water pockets.;;2026;;https://images.unsplash.com/photo-1770562459383-255f853f5463?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNDV8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;3948;5272;#405973;72;PNG;Sony A7R;5,6;100
Sp-7ybOTmsU;Woman reflected in a truck's side mirror;;2026;Fotometria|BalançDeBlancs|RevelatDigital|VelocitatDObturacio|DistanciaFocal|ComposicioVisual;https://images.unsplash.com/photo-1770283553813-238f9500551d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNDZ8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;2624;3936;#a6d9f3;72;TIFF;Leica M10;5,6;3200
3ntLwP6bEQw;Abstract pattern of white wavy vertical architectural elements;;2026;;https://images.unsplash.com/photo-1770477479851-a882bfdc219d?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNDd8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;5640;8141;#c0d9d9;150;JPEG;Canon EOS 5D;2,8;200
D43JYb0yTKU;Athletes resting on a track after training.;;2025;;https://images.unsplash.com/photo-1761839256547-0a1cd11b6dfb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxNDh8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4240;2832;#f3f3f3;72;JPEG;Leica M10;4;100
SG6d3jYqx0U;Dark blue water with gentle ripples;;2026;RevelatDigital|RetratNarratiu|ProfunditatDeCamp|SensibilitatISO|Instantania;https://images.unsplash.com/photo-1770479314185-3bfe403e722c?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNDl8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;4160;6240;#c0c0c0;72;WebP;Sony A7R;1,4;800
5lCeUTg1_Bs;Ice floes scattered on dark water;;2026;SensibilitatISO|RetratNarratiu|ProfunditatDeCamp|Enquadrament|BalançDeBlancs;https://images.unsplash.com/photo-1770462988083-3ec3a5b0a38b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNTB8fHx8fHx8fDE3NzEwMTIxNDN8&ixlib=rb-4.1.0&q=80&w=1080;3948;5272;#0c2626;72;JPEG;Sony A7R;1,4;400
